traffic,injection_rate,returncode,packets_injected::total,packets_received::total,flits_injected::total,flits_received::total,average_packet_latency,average_flit_latency,average_packet_queueing_latency,average_packet_network_latency,average_hops,avg_link_utilization,avg_vc_load::total,reception_rate_pkt,accepted_flits_per_node_cycle
tornado,0.05,0,32023.0,31986.0,32023.0,31986.0,12.570531,12.570531,2.0,10.570531,3.747077,18.3925,18.3925,0.049978125,0.049978125
tornado,0.1,0,63920.0,63846.0,63920.0,63846.0,12.698055,12.698055,2.000157,10.697898,3.752091,36.7457,36.7457,0.099759375,0.099759375
tornado,0.15,0,95977.0,95852.0,95977.0,95852.0,12.920189,12.920189,2.000689,10.919501,3.751325,55.163,55.163,0.14976875,0.14976875
tornado,0.2,0,127971.0,127797.0,127971.0,127797.0,13.461717,13.461717,2.010337,11.45138,3.751066,73.5465,73.5465,0.1996828125,0.1996828125
tornado,0.25,0,159730.0,159455.0,159730.0,159455.0,22.152883,22.152883,7.165884,14.986999,3.751999,91.7891,91.7891,0.2491484375,0.2491484375
tornado,0.3,0,169717.0,169332.0,169717.0,169332.0,365.976655,365.976655,345.729892,20.246764,3.849278,99.1405,99.1405,0.26458125,0.26458125
tornado,0.35,0,175258.0,174795.0,175258.0,174795.0,650.044744,650.044744,625.27296,24.771784,3.913493,103.468,103.468,0.2731171875,0.2731171875
tornado,0.4,0,175287.0,174809.0,175287.0,174809.0,1062.715867,1062.715867,1037.005932,25.709935,3.913683,103.4828,103.4828,0.2731390625,0.2731390625
tornado,0.45,0,175793.0,175296.0,175793.0,175296.0,1329.915286,1329.915286,1303.445886,26.4694,3.911213,103.7301,103.7301,0.2739,0.2739
tornado,0.5,0,176225.0,175721.0,176225.0,175721.0,1498.717871,1498.717871,1471.336164,27.381707,3.909066,103.9434,103.9434,0.2745640625,0.2745640625
neighbor,0.01,0,6304.0,6299.0,6304.0,6299.0,8.49357,8.49357,2.0,6.49357,1.746785,2.3614,2.3614,0.0098421875,0.0098421875
neighbor,0.02,0,12717.0,12706.0,12717.0,12706.0,8.512042,8.512042,2.0,6.512042,1.756021,4.7754,4.7754,0.019853125,0.019853125
neighbor,0.05,0,32023.0,31997.0,32023.0,31997.0,8.484764,8.484764,2.0,6.484764,1.742382,11.9817,11.9817,0.0499953125,0.0499953125
neighbor,0.1,0,63920.0,63874.0,63920.0,63874.0,8.491984,8.491984,2.00011,6.491875,1.745937,23.9382,23.9382,0.099803125,0.099803125
neighbor,0.15,0,95977.0,95899.0,95977.0,95899.0,8.494771,8.494771,2.000448,6.494322,1.747161,35.9532,35.9532,0.1498421875,0.1498421875
neighbor,0.2,0,127971.0,127871.0,127971.0,127871.0,8.497908,8.497908,2.00165,6.496258,1.748129,47.9504,47.9504,0.1997984375,0.1997984375
neighbor,0.25,0,159879.0,159759.0,159879.0,159759.0,8.508341,8.508341,2.003975,6.504366,1.752183,59.9741,59.9741,0.2496234375,0.2496234375
neighbor,0.3,0,191879.0,191731.0,191879.0,191731.0,8.515258,8.515258,2.008585,6.506673,1.753337,71.9995,71.9995,0.2995796875,0.2995796875
neighbor,0.35,0,223922.0,223753.0,223922.0,223753.0,8.520386,8.520386,2.016103,6.504284,1.752142,83.9972,83.9972,0.3496140625,0.3496140625
neighbor,0.4,0,255864.0,255666.0,255864.0,255666.0,8.530829,8.530829,2.02826,6.50257,1.751285,95.9557,95.9557,0.399478125,0.399478125
neighbor,0.45,0,287809.0,287596.0,287809.0,287596.0,8.550908,8.550908,2.047007,6.503901,1.751951,107.9554,107.9554,0.44936875,0.44936875
neighbor,0.5,0,319614.0,319376.0,319614.0,319376.0,8.577057,8.577057,2.077094,6.499962,1.749981,119.8229,119.8229,0.499025,0.499025
