config,pattern,rate,avg_pkt_latency,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,packets_received,flits_received,sim_cycles,accepted_flits_per_node_cycle
vc1_bubble,bit_complement,0.4,39233.8862,39233.8862,24.213239,39209.672961,2.749917,99991.0,99991.0,100000.0,0.062494375
vc1_bubble,bit_complement,0.5,41369.55446,41369.55446,24.244482,41345.309978,2.749897,99991.0,99991.0,100000.0,0.062494375
vc1_bubble,bit_complement,0.6,42817.219188,42817.219188,23.963037,42793.25615,2.7499,99992.0,99992.0,100000.0,0.062495
vc1_bubble,bit_complement,0.7,43859.577576,43859.577576,23.962967,43835.614609,2.7499,99992.0,99992.0,100000.0,0.062495
vc1_bubble,bit_reverse,0.01,12.770274,12.770274,10.662316,2.107957,3.731754,15784.0,15784.0,100000.0,0.009865
vc1_bubble,bit_reverse,0.02,13.195513,13.195513,10.936555,2.258958,3.740728,31870.0,31870.0,100000.0,0.01991875
vc1_bubble,bit_reverse,0.03,13.78282,13.78282,11.298928,2.483893,3.753464,47928.0,47928.0,100000.0,0.029955
vc1_bubble,bit_reverse,0.04,14.565302,14.565302,11.729273,2.836029,3.74075,63865.0,63865.0,100000.0,0.039915625
vc1_bubble,bit_reverse,0.05,15.882732,15.882732,12.423965,3.458767,3.743835,80167.0,80167.0,100000.0,0.050104375
vc1_bubble,bit_reverse,0.075,34.144993,34.144993,17.168909,16.976084,3.602392,669.0,669.0,100000.0,0.000418125
vc1_bubble,bit_reverse,0.1,24.076336,24.076336,13.778626,10.29771,3.236641,131.0,131.0,100000.0,8.1875e-05
vc1_bubble,bit_reverse,0.15,28.082707,28.082707,14.37594,13.706767,3.105263,133.0,133.0,100000.0,8.3125e-05
vc1_bubble,bit_reverse,0.2,30.033898,30.033898,15.559322,14.474576,3.084746,118.0,118.0,100000.0,7.375e-05
vc1_bubble,bit_reverse,0.25,49.204918,49.204918,21.762295,27.442623,3.368852,122.0,122.0,100000.0,7.625e-05
vc1_bubble,bit_reverse,0.3,28.012821,28.012821,15.24359,12.769231,2.923077,78.0,78.0,100000.0,4.875e-05
vc1_bubble,bit_reverse,0.4,42.722222,42.722222,17.416667,25.305556,3.111111,108.0,108.0,100000.0,6.75e-05
vc1_bubble,bit_reverse,0.5,48.637168,48.637168,19.610619,29.026549,3.238938,113.0,113.0,100000.0,7.0625e-05
vc1_bubble,bit_reverse,0.6,32.440476,32.440476,14.488095,17.952381,2.940476,84.0,84.0,100000.0,5.25e-05
vc1_bubble,bit_reverse,0.7,33.309524,33.309524,14.47619,18.833333,2.940476,84.0,84.0,100000.0,5.25e-05
vc2,uniform_random,0.01,12.9487,12.9487,10.947876,2.000824,3.96227,15770.0,15770.0,100000.0,0.00985625
vc2,uniform_random,0.02,13.055535,13.055535,11.052262,2.003272,3.993864,31782.0,31782.0,100000.0,0.01986375
vc2,uniform_random,0.03,13.164014,13.164014,11.154203,2.00981,4.015479,47807.0,47807.0,100000.0,0.029879375
vc2,uniform_random,0.04,13.230219,13.230219,11.211509,2.01871,4.01251,63709.0,63709.0,100000.0,0.039818125
vc2,uniform_random,0.05,13.295801,13.295801,11.26744,2.028361,3.992,80003.0,80003.0,100000.0,0.050001875
vc2,uniform_random,0.075,13.698922,13.698922,11.629507,2.069415,4.003371,119557.0,119557.0,100000.0,0.074723125
vc2,bit_complement,0.01,12.988216,12.988216,10.987709,2.000507,3.980613,15784.0,15784.0,100000.0,0.009865
vc2,bit_complement,0.02,13.076088,13.076088,11.072982,2.003106,4.000282,31871.0,31871.0,100000.0,0.019919375
vc2,bit_complement,0.03,13.162174,13.162174,11.153265,2.008909,4.003964,47930.0,47930.0,100000.0,0.02995625
vc2,bit_complement,0.04,13.275667,13.275667,11.258208,2.017458,4.006529,63867.0,63867.0,100000.0,0.039916875
vc2,bit_complement,0.05,13.42361,13.42361,11.394459,2.029151,4.007634,80168.0,80168.0,100000.0,0.050105
vc2,bit_complement,0.075,14.072608,14.072608,11.985455,2.087153,3.997261,119766.0,119766.0,100000.0,0.07485375
vc2,bit_complement,0.1,16.165263,16.165263,13.727035,2.438228,4.001194,159903.0,159903.0,100000.0,0.099939375
vc2,bit_complement,0.15,6660.585012,6660.585012,25.131322,6635.45369,3.599009,199967.0,199967.0,100000.0,0.124979375
vc2,bit_complement,0.2,13095.600472,13095.600472,26.922604,13068.677868,3.096394,199971.0,199971.0,100000.0,0.124981875
vc2,bit_complement,0.25,15782.9578,15782.9578,27.975522,15754.982278,2.755001,199976.0,199976.0,100000.0,0.124985
vc2,bit_complement,0.3,21380.0474,21380.0474,27.991694,21352.055706,2.750085,199980.0,199980.0,100000.0,0.1249875
vc2,bit_complement,0.4,28486.764464,28486.764464,27.992309,28458.772155,2.749912,199978.0,199978.0,100000.0,0.12498625
vc2,bit_complement,0.5,32767.8703,32767.8703,27.992444,32739.877856,2.749861,199977.0,199977.0,100000.0,0.124985625
vc2,bit_complement,0.6,35638.994384,35638.994384,27.992554,35611.00183,2.749844,199979.0,199979.0,100000.0,0.124986875
vc2,bit_complement,0.7,37712.847204,37712.847204,27.992594,37684.85461,2.749844,199979.0,199979.0,100000.0,0.124986875
vc2,bit_reverse,0.01,12.48188,12.48188,10.481374,2.000507,3.731754,15784.0,15784.0,100000.0,0.009865
vc2,bit_reverse,0.02,12.531597,12.531597,10.528522,2.003075,3.740728,31870.0,31870.0,100000.0,0.01991875
vc2,bit_reverse,0.03,12.60689,12.60689,10.598043,2.008847,3.753464,47928.0,47928.0,100000.0,0.029955
vc2,bit_reverse,0.04,12.644813,12.644813,10.627777,2.017036,3.74075,63865.0,63865.0,100000.0,0.039915625
vc2,bit_reverse,0.05,12.730425,12.730425,10.702421,2.028004,3.743835,80167.0,80167.0,100000.0,0.050104375
vc2,bit_reverse,0.075,13.023922,13.023922,10.9531,2.070822,3.741836,119765.0,119765.0,100000.0,0.074853125
vc2,bit_reverse,0.1,13.626052,13.626052,11.459213,2.16684,3.751685,159902.0,159902.0,100000.0,0.09993875
vc2_bubble,uniform_random,0.01,13.069943,13.069943,11.068992,2.000951,3.96227,15770.0,15770.0,100000.0,0.00985625
vc2_bubble,uniform_random,0.02,13.297779,13.297779,11.293405,2.004374,3.993864,31782.0,31782.0,100000.0,0.01986375
vc2_bubble,uniform_random,0.03,13.552743,13.552743,11.536637,2.016106,4.015479,47807.0,47807.0,100000.0,0.029879375
vc2_bubble,uniform_random,0.04,13.764244,13.764244,11.731706,2.032538,4.012526,63710.0,63710.0,100000.0,0.03981875
vc2_bubble,uniform_random,0.05,14.002562,14.002562,11.945565,2.056998,3.992,80003.0,80003.0,100000.0,0.050001875
vc2_bubble,uniform_random,0.075,14.955151,14.955151,12.744438,2.210713,4.003354,119556.0,119556.0,100000.0,0.0747225
vc2_bubble,uniform_random,0.1,16.737021,16.737021,13.972214,2.764806,4.000219,159579.0,159579.0,100000.0,0.099736875
vc2_bubble,uniform_random,0.15,372.610496,372.610496,21.06697,351.543526,4.003181,238570.0,238570.0,100000.0,0.14910625
