config,pattern,rate,avg_pkt_latency,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,avg_link_utilization,packets_received,flits_received,sim_cycles,accepted_flits_per_node_cycle
vc16_d1,bit_complement,0.4,13105.059222,13105.059222,98.649152,13006.41007,3.098132,20.39726,399951.0,399951.0,100000.0,0.249969375
vc16_d1,bit_complement,0.5,15671.970332,15671.970332,110.991879,15560.978453,2.753857,19.02097,399955.0,399955.0,100000.0,0.249971875
vc16_d1,bit_complement,0.6,21318.16959,21318.16959,111.842576,21206.327014,2.749989,19.00574,399959.0,399959.0,100000.0,0.249974375
vc16_d1,bit_complement,0.7,25429.937749,25429.937749,111.851947,25318.085801,2.749929,19.00558,399959.0,399959.0,100000.0,0.249974375
vc16_d1,bit_reverse,0.01,12.474911,12.474911,10.474911,2.0,3.731754,0.90475,15784.0,15784.0,100000.0,0.009865
vc16_d1,bit_reverse,0.02,12.505679,12.505679,10.505679,2.0,3.740728,1.82973,31870.0,31870.0,100000.0,0.01991875
vc16_d1,bit_reverse,0.03,12.544629,12.544629,10.544629,2.0,3.753464,2.75774,47928.0,47928.0,100000.0,0.029955
vc16_d1,bit_reverse,0.04,12.532702,12.532702,10.532702,2.0,3.74075,3.66655,63865.0,63865.0,100000.0,0.039915625
vc16_d1,bit_reverse,0.05,12.55345,12.55345,10.55345,2.0,3.743875,4.60511,80168.0,80168.0,100000.0,0.050105
vc16_d1,bit_reverse,0.075,12.591487,12.591487,10.591487,2.0,3.741863,6.87739,119766.0,119766.0,100000.0,0.07485375
vc16_d1,bit_reverse,0.1,12.663127,12.663127,10.663127,2.0,3.751706,9.19798,159903.0,159903.0,100000.0,0.099939375
vc16_d1,bit_reverse,0.15,12.798675,12.798675,10.798675,2.0,3.749248,13.79989,240010.0,240010.0,100000.0,0.15000625
vc16_d1,bit_reverse,0.2,13.038602,13.038602,11.038602,2.0,3.749236,18.39203,319878.0,319878.0,100000.0,0.19992375
vc16_d1,bit_reverse,0.25,13.579418,13.579418,11.579418,2.0,3.749481,23.00755,400134.0,400134.0,100000.0,0.25008375
vc16_d1,bit_reverse,0.3,15.712594,15.712594,13.712594,2.0,3.748053,27.5972,480066.0,480066.0,100000.0,0.30004125
vc1_d16_wh,uniform_random,0.01,12.940964,12.940964,10.940964,2.0,3.96227,0.94025,15770.0,15770.0,100000.0,0.00985625
vc1_d16_wh,uniform_random,0.02,13.025266,13.025266,11.025266,2.0,3.993864,1.90512,31782.0,31782.0,100000.0,0.01986375
vc1_d16_wh,uniform_random,0.03,13.087477,13.087477,11.087477,2.0,4.015479,2.87599,47807.0,47807.0,100000.0,0.029879375
vc1_d16_wh,uniform_random,0.04,13.103375,13.103375,11.103375,2.0,4.012526,3.83099,63710.0,63710.0,100000.0,0.03981875
vc1_d16_wh,uniform_random,0.05,13.087222,13.087222,11.087222,2.0,3.992,4.79418,80003.0,80003.0,100000.0,0.050001875
vc1_d16_wh,uniform_random,0.075,13.179747,13.179747,11.179747,2.0,4.003371,7.1779,119557.0,119557.0,100000.0,0.074723125
vc1_d16_wh,uniform_random,0.1,13.250858,13.250858,11.250858,2.0,4.000257,9.57635,159584.0,159584.0,100000.0,0.09974
vc1_d16_wh,uniform_random,0.15,13.490719,13.490719,11.490719,2.0,4.002982,14.37301,239420.0,239420.0,100000.0,0.1496375
vc1_d16_wh,uniform_random,0.2,13.851565,13.851565,11.851565,2.0,4.002204,19.17404,319425.0,319425.0,100000.0,0.199640625
vc1_d16_wh,uniform_random,0.25,14.551445,14.551445,12.551445,2.0,4.002477,23.98814,399603.0,399603.0,100000.0,0.249751875
vc1_d16_wh,uniform_random,0.3,16.143116,16.143116,14.143116,2.0,4.001278,28.77828,479498.0,479498.0,100000.0,0.29968625
vc1_d16_wh,bit_complement,0.01,12.976685,12.976685,10.976685,2.0,3.980613,0.94403,15784.0,15784.0,100000.0,0.009865
vc1_d16_wh,bit_complement,0.02,13.031251,13.031251,11.031251,2.0,4.000282,1.91243,31871.0,31871.0,100000.0,0.019919375
vc1_d16_wh,bit_complement,0.03,13.058168,13.058168,11.058168,2.0,4.003964,2.87778,47930.0,47930.0,100000.0,0.02995625
vc1_d16_wh,bit_complement,0.04,13.083815,13.083815,11.083815,2.0,4.006529,3.83627,63867.0,63867.0,100000.0,0.039916875
vc1_d16_wh,bit_complement,0.05,13.108634,13.108634,11.108634,2.0,4.007634,4.8165,80168.0,80168.0,100000.0,0.050105
vc1_d16_wh,bit_complement,0.075,13.152163,13.152163,11.152163,2.0,3.997261,7.1832,119766.0,119766.0,100000.0,0.07485375
vc1_d16_wh,bit_complement,0.1,13.248838,13.248838,11.248838,2.0,4.001194,9.5968,159903.0,159903.0,100000.0,0.099939375
vc1_d16_wh,bit_complement,0.15,13.564761,13.564761,11.564761,2.0,4.000729,14.40337,240013.0,240013.0,100000.0,0.150008125
vc1_d16_wh,bit_complement,0.2,14.509074,14.509074,12.509074,2.0,4.000347,19.19512,319877.0,319877.0,100000.0,0.199923125
vc1_d16_wh,bit_complement,0.25,140.752281,140.752281,67.045372,73.706909,3.991779,23.92647,399210.0,399210.0,100000.0,0.24950625
vc1_d16_wh,bit_complement,0.3,6658.500831,6658.500831,85.107211,6573.39362,3.597381,22.39307,399939.0,399939.0,100000.0,0.249961875
vc1_d16_wh,bit_complement,0.4,13105.059222,13105.059222,98.649152,13006.41007,3.098132,20.39726,399951.0,399951.0,100000.0,0.249969375
vc1_d16_wh,bit_complement,0.5,15671.970332,15671.970332,110.991879,15560.978453,2.753857,19.02097,399955.0,399955.0,100000.0,0.249971875
vc1_d16_wh,bit_complement,0.6,21318.16959,21318.16959,111.842576,21206.327014,2.749989,19.00574,399959.0,399959.0,100000.0,0.249974375
vc1_d16_wh,bit_complement,0.7,25429.937749,25429.937749,111.851947,25318.085801,2.749929,19.00558,399959.0,399959.0,100000.0,0.249974375
vc1_d16_wh,bit_reverse,0.01,12.474911,12.474911,10.474911,2.0,3.731754,0.90475,15784.0,15784.0,100000.0,0.009865
vc1_d16_wh,bit_reverse,0.02,12.505679,12.505679,10.505679,2.0,3.740728,1.82973,31870.0,31870.0,100000.0,0.01991875
vc1_d16_wh,bit_reverse,0.03,12.544629,12.544629,10.544629,2.0,3.753464,2.75774,47928.0,47928.0,100000.0,0.029955
vc1_d16_wh,bit_reverse,0.04,12.53267,12.53267,10.53267,2.0,3.74075,3.66655,63865.0,63865.0,100000.0,0.039915625
vc1_d16_wh,bit_reverse,0.05,12.553388,12.553388,10.553388,2.0,3.743875,4.60511,80168.0,80168.0,100000.0,0.050105
vc1_d16_wh,bit_reverse,0.075,12.591437,12.591437,10.591437,2.0,3.741863,6.87739,119766.0,119766.0,100000.0,0.07485375
vc1_d16_wh,bit_reverse,0.1,12.663102,12.663102,10.663102,2.0,3.751706,9.19798,159903.0,159903.0,100000.0,0.099939375
vc1_d16_wh,bit_reverse,0.15,12.798221,12.798221,10.798221,2.0,3.749248,13.79989,240010.0,240010.0,100000.0,0.15000625
vc1_d16_wh,bit_reverse,0.2,13.03743,13.03743,11.03743,2.0,3.749236,18.39203,319878.0,319878.0,100000.0,0.19992375
vc1_d16_wh,bit_reverse,0.25,13.575154,13.575154,11.575154,2.0,3.749486,23.00756,400133.0,400133.0,100000.0,0.250083125
vc1_d16_wh,bit_reverse,0.3,15.692057,15.692057,13.692057,2.0,3.748053,27.5972,480066.0,480066.0,100000.0,0.30004125
